subject_id	lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0010011	994.0	903.0	2390.0	1346.0	465.0	2399.0	4837.0	2534.0	934.0	3524.0	2303.0	2027.0	1922.0	2562.0	636.0	1326.0	1518.0	574.0	1279.0	1006.0	4282.0	1228.0	4577.0	3616.0	768.0	5363.0	6537.0	5277.0	3874.0	4625.0	275.0	411.0	478.0	2165.0	78956.0	992979.0	1368395.949419
sub-6568351	887.0	420.0	1936.0	1073.0	348.0	3050.0	4564.0	2596.0	969.0	5580.0	2401.0	2761.0	1733.0	2676.0	784.0	1257.0	1581.0	721.0	1694.0	1212.0	4165.0	1051.0	4261.0	3209.0	653.0	6636.0	8335.0	4250.0	4352.0	3797.0	308.0	419.0	529.0	2112.0	82323.2	1062350.0	1411036.945659
sub-0010029	1028.0	546.0	1950.0	1484.0	420.0	3138.0	3969.0	3567.0	1257.0	5615.0	2807.0	3031.0	1775.0	3110.0	744.0	1469.0	1899.0	803.0	1472.0	1269.0	4214.0	1260.0	4933.0	4154.0	599.0	6618.0	6837.0	5107.0	4058.0	4764.0	291.0	507.0	520.0	2394.0	87612.0	1126028.0	1517081.108782
sub-0010027	1074.0	651.0	2448.0	1193.0	358.0	2537.0	4395.0	2903.0	1180.0	3935.0	2502.0	2356.0	1945.0	2998.0	795.0	1278.0	1579.0	671.0	1271.0	903.0	4919.0	1241.0	5367.0	3396.0	585.0	5627.0	7856.0	4925.0	4534.0	4849.0	314.0	612.0	591.0	2875.0	84664.4	1061340.0	1499172.6222
sub-7333005	1317.0	742.0	2360.0	1562.0	622.0	3650.0	5296.0	3812.0	978.0	4835.0	3005.0	3636.0	1928.0	3751.0	670.0	1469.0	1561.0	748.0	1260.0	1643.0	4776.0	1308.0	5287.0	5010.0	934.0	5129.0	7494.0	5742.0	4483.0	4415.0	274.0	540.0	534.0	2896.0	93667.9	1221867.0	1664237.227948
sub-0010073	1419.0	910.0	3228.0	1660.0	550.0	3031.0	5302.0	4086.0	1151.0	6321.0	3120.0	3330.0	2112.0	4656.0	862.0	1784.0	2297.0	878.0	2006.0	1424.0	4225.0	1777.0	5294.0	4604.0	1046.0	7769.0	9819.0	6541.0	5195.0	4703.0	341.0	523.0	608.0	2761.0	105331.0	1285196.0	1714915.098625
sub-0010080	1302.0	787.0	2599.0	1392.0	524.0	2878.0	4379.0	3250.0	1085.0	4643.0	2698.0	2867.0	1886.0	3140.0	626.0	1408.0	1504.0	695.0	1235.0	1430.0	4292.0	1197.0	5018.0	3882.0	910.0	5882.0	6999.0	6506.0	4111.0	3772.0	257.0	522.0	476.0	2546.0	86699.0	1116192.0	1547601.309612
sub-0010042	1601.0	600.0	2521.0	1775.0	548.0	3553.0	6205.0	3933.0	1536.0	5873.0	2855.0	3571.0	2094.0	4065.0	741.0	1528.0	2287.0	869.0	1587.0	1633.0	5476.0	1611.0	5860.0	4596.0	1012.0	7028.0	8477.0	7114.0	4638.0	6887.0	343.0	499.0	479.0	2697.0	106091.0	1304192.0	1693464.574011
sub-1177160	939.0	492.0	2834.0	1743.0	422.0	2687.0	5189.0	3069.0	901.0	5828.0	2673.0	3131.0	1755.0	3194.0	779.0	1498.0	1437.0	778.0	1264.0	1396.0	4296.0	1047.0	4753.0	4087.0	705.0	6512.0	6546.0	6611.0	4302.0	3662.0	290.0	531.0	556.0	2236.0	88139.4	1135375.0	1530173.748793
sub-4060823	973.0	859.0	2583.0	1446.0	415.0	3195.0	4158.0	3055.0	1037.0	4878.0	2910.0	2987.0	1912.0	3112.0	822.0	1284.0	1540.0	779.0	1624.0	1495.0	4678.0	1226.0	5297.0	3919.0	733.0	6233.0	6876.0	5473.0	4217.0	4971.0	275.0	449.0	587.0	2386.0	88381.5	1155264.0	1541521.791743
